t,speed,rpm,gear,ratio,mech,slip,tcc,locked,trip_km,fuel_pt,coolant,map,load
1787839937.8,0.00,720.2,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,43.0,0.0
1787839938.3,0.00,704.8,0,0.260,0.000,0.0000,0,False,283.06785,38.04,90.0,43.0,0.0
1787839938.8,0.00,695.2,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839939.3,0.00,706.8,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839939.8,0.00,721.2,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839940.3,0.00,712.2,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,43.0,0.0
1787839940.8,0.00,702.0,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839941.3,0.00,693.0,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839941.8,0.00,704.2,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839942.3,0.00,711.0,0,0.260,0.000,0.0000,0,False,283.06785,38.04,90.0,44.0,0.0
1787839942.8,0.00,705.8,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839943.3,0.00,700.2,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,44.0,0.0
1787839943.8,0.00,690.8,0,0.260,0.000,0.0000,0,False,283.06785,39.22,90.0,45.0,0.0
1787839944.3,0.00,645.0,0,0.260,0.000,0.0000,0,False,283.06785,40.39,90.0,46.0,0.0
1787839944.8,0.00,654.2,0,2.820,0.000,0.0000,0,False,283.06785,40.39,90.0,52.0,0.0
1787839945.3,0.00,704.8,0,2.820,0.000,0.0000,0,False,283.06785,39.22,90.0,50.0,0.0
1787839945.8,0.00,732.5,0,2.820,0.000,0.0000,0,False,283.06785,39.22,90.0,60.0,0.0
1787839946.3,0.00,724.2,0,2.820,0.000,0.0000,0,False,283.06785,39.22,90.0,59.0,0.0
1787839946.8,0.00,718.0,0,2.820,0.000,0.0000,0,False,283.06785,39.22,90.0,58.0,0.0
1787839947.3,0.00,715.8,0,2.820,0.000,0.0000,0,False,283.06785,39.22,90.0,58.0,0.0
1787839947.8,0.00,697.8,0,2.820,0.000,0.0000,0,False,283.06785,35.69,90.0,59.0,0.0
1787839948.3,1.02,821.2,0,2.820,0.000,0.0000,0,False,283.06785,35.69,90.0,61.0,0.0
1787839948.8,0.00,769.2,0,2.820,0.000,0.0000,0,False,283.06824,38.04,90.0,50.0,0.0
1787839949.4,0.00,768.0,0,2.820,0.000,0.0000,0,False,283.06824,39.22,90.0,45.0,0.0
1787839949.9,0.00,761.8,0,2.820,0.000,0.0000,0,False,283.06824,40.39,90.0,44.0,0.0
1787839950.4,0.00,744.5,0,2.820,0.000,0.0000,0,False,283.06824,36.86,90.0,44.0,0.0
1787839950.9,1.06,797.8,0,2.820,0.000,0.0000,0,False,283.06824,36.86,90.0,56.0,0.0
1787839951.4,1.80,805.5,0,2.820,0.000,0.0000,0,False,283.06824,36.86,90.0,57.0,0.0
1787839951.9,2.13,802.8,0,2.820,0.000,0.0000,0,False,283.06863,43.92,90.0,58.0,0.0
1787839952.4,2.98,811.2,0,2.820,0.000,0.0000,0,False,283.06902,33.73,90.0,58.0,0.0
1787839952.9,3.71,809.5,0,2.490,0.000,0.0000,0,False,283.06941,36.86,90.0,58.0,0.0
1787839953.4,4.00,768.8,0,2.680,0.000,0.0000,0,False,283.07019,30.20,90.0,57.0,0.0
