t,fix,sats,hdop,lat,lon,alt_m,speed_kmh,course
1787988707.87,0,00,99.99,,,,0.0,0.0
1787988708.86,0,00,99.99,,,,0.0,0.0
1787988709.86,0,00,99.99,,,,0.0,0.0
1787988710.86,0,00,99.99,,,,0.0,0.0
1787988711.87,0,00,99.99,,,,0.0,0.0
1787988712.86,0,00,99.99,,,,0.0,0.0
1787988713.87,0,00,99.99,,,,0.0,0.0
1787988714.87,0,00,99.99,,,,0.0,0.0
1787988715.87,0,00,99.99,,,,0.0,0.0
1787988716.87,0,00,99.99,,,,0.0,0.0
1787988717.87,0,00,99.99,,,,0.0,0.0
1787988718.87,0,00,99.99,,,,0.0,0.0
1787988719.87,0,00,99.99,,,,0.0,0.0
1787988720.87,0,00,99.99,,,,0.0,0.0
1787988721.87,0,00,99.99,,,,0.0,0.0
1787988722.87,0,00,99.99,,,,0.0,0.0
1787988723.86,0,00,99.99,,,,0.0,0.0
1787988724.87,0,00,99.99,,,,0.0,0.0
1787988725.87,0,00,99.99,,,,0.0,0.0
1787988726.86,0,00,99.99,,,,0.0,0.0
1787988727.87,0,00,99.99,,,,0.0,0.0
1787988728.87,0,00,99.99,,,,0.0,0.0
1787988729.87,0,00,99.99,,,,0.0,0.0
1787988730.87,0,00,99.99,,,,0.0,0.0
1787988731.86,0,00,99.99,,,,0.0,0.0
1787988732.87,0,00,99.99,,,,0.0,0.0
1787988733.86,0,00,99.99,,,,0.0,0.0
1787988734.86,0,00,99.99,,,,0.0,0.0
1787988735.86,0,00,99.99,,,,0.0,0.0
1787988736.86,0,00,99.99,,,,0.0,0.0
1787988737.86,0,00,99.99,,,,0.0,0.0
1787988738.87,0,00,99.99,,,,0.0,0.0
1787988739.86,0,00,99.99,,,,0.0,0.0
1787988740.86,0,00,99.99,,,,0.0,0.0
1787988741.87,0,00,99.99,,,,0.0,0.0
1787988742.86,0,00,99.99,,,,0.0,0.0
1787988743.87,0,00,99.99,,,,0.0,0.0
1787988744.86,0,00,99.99,,,,0.0,0.0
1787988745.86,0,00,99.99,,,,0.0,0.0
1787988746.87,0,00,99.99,,,,0.0,0.0
1787988747.86,0,00,99.99,,,,0.0,0.0
1787988748.86,0,00,99.99,,,,0.0,0.0
1787988749.87,0,00,99.99,,,,0.0,0.0
